feature,feature,type,p_value,relevant
F_x__partial_autocorrelation__lag_9,F_x__partial_autocorrelation__lag_9,real,1.978494028985706e-10,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",real,2.1755423067604956e-10,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",real,5.896444624741847e-10,True
"F_x__fft_coefficient__coeff_2__attr_""imag""","F_x__fft_coefficient__coeff_2__attr_""imag""",real,5.928188312951699e-10,True
F_x__symmetry_looking__r_0.25,F_x__symmetry_looking__r_0.25,binary,7.061833255898777e-10,True
F_x__partial_autocorrelation__lag_7,F_x__partial_autocorrelation__lag_7,real,1.0105667555143282e-09,True
"F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2","F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",real,1.1657034180127585e-09,True
"F_x__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""slope""","F_x__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""slope""",real,1.4676370330775949e-09,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",real,1.5086319418748898e-09,True
"F_x__augmented_dickey_fuller__autolag_""AIC""__attr_""usedlag""","F_x__augmented_dickey_fuller__autolag_""AIC""__attr_""usedlag""",real,1.6067715179194794e-09,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",real,2.780836635143113e-09,True
F_x__number_crossing_m__m_-1,F_x__number_crossing_m__m_-1,real,3.1598071590047183e-09,True
F_x__autocorrelation__lag_5,F_x__autocorrelation__lag_5,real,7.426677824383327e-09,True
